Structure Depth Age Ascl1 Bdnf Creb1 Cux2 Fez1 Hes1 Mef2c Myt1l Neurod1 Neurog1 Neurog2 Nog Olig2 Otx1 Otx2 Pax3 Pax5 Pax6 Pou3f2 Pou4f2 Prox13 Satb2 Sox10 Sox11 Sox12 Sox2 Sox3 Sox4 Sox5 Sox6 Sox7 Sox8 Sox9 Stat3
2 3 1 4.13732 0.0109313 0.169214 0.913891 6.57401 1.89448 0.105603 1.68868 1.1989 0.769697 6.12366 0.0153712 0.206721 0.559618 16.3085 0.627232 0.0286769 7.80631 6.70563 0.0032664 -1 0.0195957 0.00892371 1.10339 0.61519 9.09522 1.67104 5.37035 0.586081 0.400723 0.316092 0.118072 0.2349 0.0247714
2 3 2 0.434047 0.0636232 0.0977264 0.573837 7.6102 0.108747 0.0704924 5.68059 0.728591 0.00901363 4.00641 0.0106755 0.814286 0.346866 3.5195 0.433176 0.807437 7.56913 12.5435 0.0106992 -1 0.152197 0.018061 0.343487 3.55989 6.69889 0.22102 4.95628 0.903848 0.171647 0.0058522 0.0684247 0.0563973 0.0791338
2 3 3 0.461506 0.458699 0.0189728 2.95144 6.55477 0.832591 0.585176 7.30835 1.37759 0.170883 1.13619 0.0375517 2.83367 0.0860796 5.29282 0.113828 0.383242 4.9872 9.31237 0.0492906 -1 2.85114 0.656182 1.14954 2.5789 4.43674 0.0140828 0.0727007 0.33905 0.153587 0.128732 0.409077 0.424897 0.123774
2 3 4 0.0776002 0.122533 0.0404764 4.92074 14.8055 0.183737 0.571957 5.90899 0.897176 0.293938 2.91379 0.200576 4.25261 0.0416479 1.15769 0.384842 0.313119 2.6643 15.5319 0.0334442 -1 1.26645 0.200992 0.331325 7.07638 1.90967 0.172718 2.90562 5.48984 0.0186607 0.0139518 0.523925 0.0544508 0.443791
2 3 5 0.850805 2.121 0.230688 4.9581 12.3281 0.0926274 1.51102 8.92804 0.652917 0.191659 0.776713 4.89317 4.77121 0.547114 1.5218 0.0567119 0.0226348 1.22983 12.5269 0.0695457 -1 1.74463 6.94024 0.462702 1.82597 3.73386 -1 1.60859 1.451 1.74931 1.1395 7.45145 0.0187684 1.41042
2 3 6 0.800037 0.811004 0.0401015 4.20851 14.3227 0.0252888 2.6818 7.93883 0.187616 0.0731425 0.106234 0.312161 1.56729 0.0555649 0.608541 0.0589769 0.0693905 0.546462 9.11575 0.0360182 -1 0.0409002 7.76019 0.0344023 3.10759 4.95798 0.49963 0.412371 2.02293 0.125887 0.102254 5.43276 0.0124778 1.1834
2 3 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
3 2 0 10.4682 0.0228174 0.256651 2.30673 5.23174 1.12558 0.179115 0.0578435 0.854557 0.950394 12.6568 0.301458 1.57807 0.159932 8.63047 0.789792 0.0297852 8.08204 21.32 0.0284873 -1 0.202719 0.267682 7.75169 3.92889 12.5001 6.98978 9.14133 1.21621 0.224584 0.165818 0.0288834 0.613793 0.243833
3 2 1 4.21427 0.0200165 0.289864 1.14544 11.8079 2.5895 0.488306 2.42935 1.2442 0.858444 5.38206 0.0371008 0.217511 0.30092 6.88087 0.276202 0.138354 6.50836 7.62842 0.0218222 -1 1.08984 0.0325843 2.36182 0.567846 10.1953 2.00036 4.95891 2.69677 0.440885 0.269108 0.305486 0.30784 0.0419654
3 2 2 0.635112 0.0409596 0.106183 0.892001 9.07474 0.156416 1.37493 7.05388 1.698 0.0376826 5.54901 0.011838 0.365453 0.0810021 1.26028 0.0951438 0.129149 4.33914 10.2786 0.0158055 -1 4.93 0.0389776 2.019 2.89613 2.78977 0.574108 5.74492 6.26301 0.293828 0.0129136 0.360831 0.0778771 0.117395
